stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
518,518,CHARLES ST & HYATT nb,,39.285012,-76.614727,,,,,,0
519,519,CHARLES ST & FAYETTE ST nb,,39.290244,-76.615125,,,,,,0
520,520,CHARLES ST & LEXINGTON ST fs nb,,39.291520,-76.615167,,,,,,0
521,521,CHARLES ST & PLEASANT ST nb,,39.293354,-76.615340,,,,,,0
523,523,CHARLES ST & HAMILTON ST nb,,39.295475,-76.615450,,,,,,0
524,524,CHARLES ST & MT VERNON PL nb,,39.297617,-76.615291,,,,,,0
525,525,CHARLES ST & READ ST nb,,39.299474,-76.615704,,,,,,0
528,528,CHARLES ST & BIDDLE ST nb,,39.303294,-76.615945,,,,,,0
529,529,CHARLES ST & PRESTON ST nb,,39.304372,-76.616022,,,,,,0
531,531,CHARLES ST & PENN STATION nb,,39.307843,-76.616213,,,,,,0
533,533,CHARLES ST & NORTH AVE nb,,39.310674,-76.616432,,,,,,0
534,534,CHARLES ST & 20TH ST nb,,39.311996,-76.616524,,,,,,0
536,536,CHARLES ST & 22ND ST nb,,39.313951,-76.616648,,,,,,0
539,539,CHARLES ST & 25TH ST nb,,39.317561,-76.616882,,,,,,0
541,541,CHARLES ST & 27TH ST nb,,39.320466,-76.617038,,,,,,0
542,542,CHARLES ST & 29TH ST nb,,39.323045,-76.617207,,,,,,0
543,543,CHARLES ST & 31ST ST nb,,39.325872,-76.617413,,,,,,0
545,545,33RD ST & SAINT PAUL ST eb,,39.327942,-76.616162,,,,,,0
546,546,33RD ST & CALVERT ST eb ,,39.327954,-76.615003,,,,,,0
547,547,33RD ST & ABELL AVE eb,,39.328066,-76.612263,,,,,,0
548,548,33RD ST & OLD YORK RD fs eb,,39.328290,-76.608551,,,,,,0
550,550,33RD ST & FRISBY ST eb,,39.328289,-76.606656,,,,,,0
551,551,33RD ST & ELLERSLIE AVE fs eb,,39.328280,-76.603037,,,,,,0
553,553,33RD ST & STADIUM PLACE fs eb,,39.328291,-76.601195,,,,,,0
554,554,33RD ST & EDNOR RD eb,,39.328287,-76.599852,,,,,,0
555,555,33RD ST & LOCH RAVEN BLVD fs eb,,39.328274,-76.597182,,,,,,0
558,558,THE ALAMEDA & 33RD ST fs nb,,39.328881,-76.595071,,,,,,0
559,559,DUE MERGENTHALER HIGH SCHOOL fs,,39.330942,-76.589380,,,,,,0
560,560,35TH ST & HILLEN RD,,39.330976,-76.590586,,,,,,0
561,561,THE ALAMEDA & 35TH ST nb,,39.331225,-76.595069,,,,,,0
562,562,THE ALAMEDA & 36TH ST mb nb,,39.332258,-76.595063,,,,,,0
564,564,LOCH RAVEN BLVD & GREENDALE RD nb,,39.336641,-76.594062,,,,,,0
565,565,LOCH RAVEN & ARGONNE nb,,39.339741,-76.593662,,,,,,0
