stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
3699,13699,Bosworth St & Lippard Ave  , ,37.733827,-122.43597, , 
3705,13705,Lincoln Blvd & Bowley Ave  , ,37.788465,-122.482617, , 
3706,13706,Bowley St & Lincoln Blvd  , ,37.792222,-122.481186, , 
3715,13715,Broad St & Capitol Ave  , ,37.713191,-122.458921, , 
3716,13716,Broad St & Capitol Ave  , ,37.713152,-122.459159, , 
3717,13717,Broad St & Orizaba Ave  , ,37.713178,-122.462331, , 
3718,13718,Broad St & Plymouth Ave  , ,37.713222,-122.455927, , 
3719,13719,Broad St & Plymouth Ave  , ,37.713161,-122.45618, , 
3721,13721,Bridge View Dr & Scotia Ave   , ,37.73184,-122.3994, , 
3722,13722,Bridge View Dr & Topeka Ave   , ,37.7332,-122.39769, , 
3723,13723,Bryant St & 4th St   , ,37.779474,-122.398068, , 
3724,13724,Bryant St & 5th St   , ,37.77795,-122.39995, , 
3725,13725,Bryant St & 6th St   , ,37.776157,-122.402231, , 
3768,13768,228 Bayshore Blvd, ,37.74472,-122.40443, , 
3771,13771,Bayshore Blvd & Alemany Blvd, ,37.737729,-122.406997, , 
3772,13772,Bayshore Blvd & Arleta Ave, ,37.712208,-122.402523, , 
3773,13773,Bayshore Blvd & Augusta St, ,37.73425,-122.40558, , 
3775,13775,Bayshore Blvd & Boutwell St, ,37.73488,-122.40588, , 
3776,13776,Bayshore Blvd & Campbell Ave, ,37.71481,-122.39936, , 
3778,13778,Bayshore Blvd & Cortland Ave, ,37.73986,-122.40677, , 
3779,13779,Bayshore Blvd & Cortland Ave, ,37.73946,-122.407122, , 
3780,13780,Bayshore Blvd & Hester Ave, ,37.71497,-122.39898, , 
3783,13783,Bayshore Blvd & Leland Ave, ,37.711138,-122.403783, , 
3788,13788,Bayshore Blvd & Silver Ave, ,37.733213,-122.40472, , 
3789,13789,Bayshore Blvd & Silver Ave, ,37.732963,-122.404789, , 
3793,13793,Bayshore Blvd & Visitacion Ave, ,37.71062,-122.40389, , 
3822,13822,California St & 4th Ave  , ,37.785353,-122.462292, , 
3823,13823,California St & 4th Ave  , ,37.785178,-122.46257, , 
3824,13824,California St & 6th Ave  , ,37.785069,-122.464641, , 
3825,13825,California St & 6th Ave  , ,37.784902,-122.464709, , 
3826,13826,California St & 7th Ave   , ,37.784819,-122.465432, , 
3827,13827,California St & 8th Ave  , ,37.78463,-122.466825, , 
3828,13828,California St & 10th Ave  , ,37.784665,-122.469159, , 
3830,13830,California St & 10th Ave  , ,37.784551,-122.468963, , 
3831,13831,California St & 12th Ave  , ,37.784586,-122.470848, , 
3832,13832,California St & 12th Ave  , ,37.784454,-122.471103, , 
3833,13833,California St & 16th Ave  , ,37.784386,-122.475229, , 
3834,13834,California St & 16th Ave  , ,37.784253,-122.475501, , 
3835,13835,California St & 19th Ave  , ,37.784241,-122.478446, , 
3836,13836,California St & 19th Ave  , ,37.784109,-122.47871, , 
3837,13837,California St & 22nd Ave  , ,37.784097,-122.481659, , 
3838,13838,California St & 22nd Ave  , ,37.783941,-122.481893, , 
3839,13839,California St & 25th Ave  , ,37.78395,-122.48482, , 
3840,13840,California St & 25th Ave  , ,37.783808,-122.485286, , 
3841,13841,California St & 28th Ave  , ,37.783798,-122.488074, , 
3842,13842,California St & 28th Ave  , ,37.783658,-122.488456, , 
3843,13843,California St & 30th Ave  , ,37.783671,-122.490513, , 
3844,13844,California St & 30th Ave  , ,37.783578,-122.490087, , 
3845,13845,California St & Arguello Blvd , ,37.785703,-122.459288, , 
3846,13846,California St & Arguello Blvd , ,37.785659,-122.459036, , 
