route_id,service_id,trip_id,trip_headsign,trip_destination,trip_short_name,trip_route_name,direction_id,pub_dir_id,block_id,rm_block_id,shape_id
444-77,20200523-Weekend-01,503-RL-444.1N-0739-20200523-Weekend-01,"444 MALL OF AMERICA","MALL OF AMERICA",444,444,1,Northbound,503,503-RL,4440300
440-77,20200523-Weekend-01,504-RL-440.0N-0743-20200523-Weekend-01,"440 CEDAR GROVE","CEDAR GROVE",440,440,1,Northbound,504,504-RL,4400277
903-77,20200523-Weekend-01,552-B-903.0N-0817-20200523-Weekend-01,"NORTHBOUND TO MALL OF AMERICA","MALL OF AMERICA",903,903,1,Northbound,552,552-B,9030256
445-77,20200523-Weekend-01,504-RL-445.0E-0834-20200523-Weekend-01,"445 EAGAN/DODD & OPPERMAN","EAGAN/DODD & OPPERMAN",445,445,0,Eastbound,504,504-RL,4450162
903-77,20200523-Weekend-01,551-B-903.0N-0847-20200523-Weekend-01,"NORTHBOUND TO MALL OF AMERICA","MALL OF AMERICA",903,903,1,Northbound,551,551-B,9030256
444-77,20200523-Weekend-01,501-RL-444.1N-0839-20200523-Weekend-01,"444 MALL OF AMERICA","MALL OF AMERICA",444,444,1,Northbound,501,501-RL,4440300
440-77,20200523-Weekend-01,505-RL-440.0N-0843-20200523-Weekend-01,"440 CEDAR GROVE","CEDAR GROVE",440,440,1,Northbound,505,505-RL,4400277
445-77,20200523-Weekend-01,505-RL-445.0E-0934-20200523-Weekend-01,"445 EAGAN/DODD & OPPERMAN","EAGAN/DODD & OPPERMAN",445,445,0,Eastbound,505,505-RL,4450162
903-77,20200523-Weekend-01,552-B-903.0N-0917-20200523-Weekend-01,"NORTHBOUND TO MALL OF AMERICA","MALL OF AMERICA",903,903,1,Northbound,552,552-B,9030256
903-77,20200523-Weekend-01,551-B-903.0N-0947-20200523-Weekend-01,"NORTHBOUND TO MALL OF AMERICA","MALL OF AMERICA",903,903,1,Northbound,551,551-B,9030256
444-77,20200523-Weekend-01,503-RL-444.1N-0939-20200523-Weekend-01,"444 MALL OF AMERICA","MALL OF AMERICA",444,444,1,Northbound,503,503-RL,4440300
440-77,20200523-Weekend-01,502-RL-440.0N-0943-20200523-Weekend-01,"440 CEDAR GROVE","CEDAR GROVE",440,440,1,Northbound,502,502-RL,4400277
445-77,20200523-Weekend-01,502-RL-445.0E-1034-20200523-Weekend-01,"445 EAGAN/DODD & OPPERMAN","EAGAN/DODD & OPPERMAN",445,445,0,Eastbound,502,502-RL,4450162
903-77,20200523-Weekend-01,552-B-903.0N-1017-20200523-Weekend-01,"NORTHBOUND TO MALL OF AMERICA","MALL OF AMERICA",903,903,1,Northbound,552,552-B,9030256
903-77,20200523-Weekend-01,553-B-903.0N-1047-20200523-Weekend-01,"NORTHBOUND TO MALL OF AMERICA","MALL OF AMERICA",903,903,1,Northbound,553,553-B,9030256
444-77,20200523-Weekend-01,501-RL-444.2N-1041-20200523-Weekend-01,"444 MALL OF AMERICA","MALL OF AMERICA",444,444,1,Northbound,501,501-RL,4440301
440-77,20200523-Weekend-01,504-RL-440.0N-1043-20200523-Weekend-01,"440 CEDAR GROVE","CEDAR GROVE",440,440,1,Northbound,504,504-RL,4400277
445-77,20200523-Weekend-01,504-RL-445.0E-1134-20200523-Weekend-01,"445 EAGAN/DODD & OPPERMAN","EAGAN/DODD & OPPERMAN",445,445,0,Eastbound,504,504-RL,4450162
903-77,20200523-Weekend-01,552-B-903.0N-1117-20200523-Weekend-01,"NORTHBOUND TO MALL OF AMERICA","MALL OF AMERICA",903,903,1,Northbound,552,552-B,9030256
903-77,20200523-Weekend-01,553-B-903.0N-1147-20200523-Weekend-01,"NORTHBOUND TO MALL OF AMERICA","MALL OF AMERICA",903,903,1,Northbound,553,553-B,9030256
444-77,20200523-Weekend-01,503-RL-444.1N-1139-20200523-Weekend-01,"444 MALL OF AMERICA","MALL OF AMERICA",444,444,1,Northbound,503,503-RL,4440300
440-77,20200523-Weekend-01,505-RL-440.0N-1143-20200523-Weekend-01,"440 CEDAR GROVE","CEDAR GROVE",440,440,1,Northbound,505,505-RL,4400277
445-77,20200523-Weekend-01,505-RL-445.0E-1234-20200523-Weekend-01,"445 EAGAN/DODD & OPPERMAN","EAGAN/DODD & OPPERMAN",445,445,0,Eastbound,505,505-RL,4450162
