stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00904,904,"Dodd Rd (Hwy 149) at Hokah Av W corner",,  44.877110, -93.126482,,,0,
00905,905,"Dodd Rd (Hwy 149) at Wagon Wheel Trl NW corner",,  44.874218, -93.126551,,,0,
00906,906,"Dodd Rd (Hwy 149) at Bluebill Dr NW corner",,  44.871972, -93.127482,,,0,
00907,907,"Dodd Rd (Hwy 149) at Lake Dr NW corner",,  44.870323, -93.128374,,,0,
00908,908,"Mendota Heights Rd at Visitation Dr NE corner",,  44.865635, -93.131586,,,0,
00909,909,"Mendota Heights Rd at Lake Dr NE corner",,  44.865612, -93.135806,,,0,
00910,910,"Mendota Heights Rd at Lexington Av NE corner",,  44.865590, -93.147410,,,0,
00911,911,"Mendota Heights Rd at Medallion Dr NE corner",,  44.866154, -93.150302,,,0,
00912,912,"Mendota Heights Rd at Hwy 55 NE corner",,  44.866070, -93.153780,,,0,
00913,913,"Mendota Heights Rd at Executive Dr N corner",,  44.865574, -93.156146,,,0,
00914,914,"Mendota Heights Rd at Jupiter Dr N corner",,  44.865570, -93.159205,,,0,
00915,915,"Mendota Heights Rd at Enterprise Dr NE corner",,  44.865582, -93.162020,,,0,
00918,918,"Yankee Doodle Rd at Mike Collins Dr NW corner",,  44.833542, -93.130801,,,0,
00919,919,"Blue Cross Rd at BCBS Main drive NW corner",,  44.830938, -93.189352,,,0,
00923,923,"Diffley Rd at Nicols NW corner (77 on-ramp)",,  44.804844, -93.218134,,,0,
00927,927,"Dodd Rd (Hwy 149) at UPS W corner",,  44.831028, -93.114779,,,0,
00928,928,"Opperman Dr at Dodd Rd SE corner (non-public)",,  44.827801, -93.111750,,,0,
00929,929,"Opperman Dr at Eagan YMCA SW corner",,  44.827885, -93.108286,,,0,
00935,935,"Dodd Rd (Hwy 149) at UPS SE corner",,  44.831227, -93.114352,,,0,
00936,936,"Dodd Rd (Hwy 149) at Yankee Doodle Rd NE corner",,  44.834153, -93.116648,,,0,
00937,937,"Dodd Rd (Hwy 149) at Rolling Hills Dr SE corner",,  44.838578, -93.118471,,,0,
00938,938,"Dodd Rd (Hwy 149) at Chapel Ln SE corner",,  44.841423, -93.120349,,,0,
00939,939,"Dodd Rd (Hwy 149) at Marathon Station SE corner",,  44.844193, -93.123087,,,0,
00940,940,"Hwy 55/149 at Lone Oak Rd NE corner",,  44.847441, -93.125562,,,0,
00941,941,"Dodd Rd (Hwy 149) at Hwy 55 (N) NE corner",,  44.852246, -93.129527,,,0,
00942,942,"Lone Oak Pkwy at Dodd Rd SE corner",,  44.855057, -93.128031,,,0,
00943,943,"Lone Oak Pkwy at Lone Oak Dr SW corner",,  44.853352, -93.124750,,,0,
00944,944,"Lone Oak Pkwy at USPS IT/ASC E corner",,  44.854176, -93.123278,,,0,
00945,945,"Vikings Pkwy at Lone Oak Pkwy NW corner",,  44.857819, -93.124247,,,0,
00946,946,"Vikings Pkwy at Dodd Rd NE corner",,  44.857544, -93.127795,,,0,
00947,947,"Blue Gentian Rd at Dodd Rd NW corner",,  44.857415, -93.128993,,,0,
00948,948,"Blue Gentian Rd at #895 N corner",,  44.860245, -93.131724,,,0,
