trip_id,realtime_trip_id
10762165-132-Blocks-Weekday-50,2961024
10762166-132-Blocks-Weekday-50,2961017
10762167-132-Blocks-Weekday-50,2961019
10762168-132-Blocks-Weekday-50,2961026
10762169-132-Blocks-Weekday-50,2961021
10762170-132-Blocks-Weekday-50,2961028
10762171-132-Blocks-Weekday-50,2961023
10762172-132-Blocks-Weekday-50,2961030
10762173-132-Blocks-Weekday-50,2961025
10762174-132-Blocks-Weekday-50,2961032
10762175-132-Blocks-Weekday-50,2961027
10762176-132-Blocks-Weekday-50,2961034
10762177-132-Blocks-Weekday-50,2961029
10762178-132-Blocks-Weekday-50,2961036
10762179-132-Blocks-Weekday-50,2961031
10762180-132-Blocks-Weekday-50,2961038
10762181-132-Blocks-Weekday-50,2961033
10762182-132-Blocks-Weekday-50,2961040
10762183-132-Blocks-Weekday-50,2961035
10762184-132-Blocks-Weekday-50,2961042
10762185-132-Blocks-Weekday-50,2961037
10762186-132-Blocks-Weekday-50,2961039
10762196-132-Blocks-Weekday-50,2781003
10762197-132-Blocks-Weekday-50,2781005
10762198-132-Blocks-Weekday-50,2781007
10762199-132-Blocks-Weekday-50,2781009
10762200-132-Blocks-Weekday-50,2781011
10762201-132-Blocks-Weekday-50,2781013
10762202-132-Blocks-Weekday-50,2781015
10762203-132-Blocks-Weekday-50,2781017
10762204-132-Blocks-Weekday-50,2781019
10762205-132-Blocks-Weekday-50,2781021
10762206-132-Blocks-Weekday-50,2781023
10762207-132-Blocks-Weekday-50,2781025
10762208-132-Blocks-Weekday-50,2781004
10762209-132-Blocks-Weekday-50,2781006
10762210-132-Blocks-Weekday-50,2781008
10762211-132-Blocks-Weekday-50,2781010
10762212-132-Blocks-Weekday-50,2781012
10762213-132-Blocks-Weekday-50,2781014
10762214-132-Blocks-Weekday-50,2781016
10762215-132-Blocks-Weekday-50,2781018
10762216-132-Blocks-Weekday-50,2781020
10762217-132-Blocks-Weekday-50,2781022
10762218-132-Blocks-Weekday-50,2781024
10762219-132-Blocks-Weekday-50,2781026
10762224-132-Blocks-Weekday-50,2781001
10762225-132-Blocks-Weekday-50,2781002
10762226-132-Blocks-Weekday-50,2781028
10762227-132-Blocks-Weekday-50,2781027
10762228-132-Blocks-Weekday-50,171002
10762229-132-Blocks-Weekday-50,171004
10762230-132-Blocks-Weekday-50,171006
10762231-132-Blocks-Weekday-50,171008
10762232-132-Blocks-Weekday-50,171010
10762233-132-Blocks-Weekday-50,171012
10762234-132-Blocks-Weekday-50,171014
10762235-132-Blocks-Weekday-50,171016
10762236-132-Blocks-Weekday-50,171001
10762237-132-Blocks-Weekday-50,171003
10762238-132-Blocks-Weekday-50,171005
10762239-132-Blocks-Weekday-50,171007
10762240-132-Blocks-Weekday-50,171009
